year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes,venue_type,venue_basis
2013,2013.04.04 메트라이프 천안행사,j:\공유 드라이브\2013 사진 영상\2013.04.04 메트라이프 천안행사,GROUP,40,60,A,"4 team colors (red, green, orange, yellow) with visible group of approx 45 people sitting",,인도어,evidence
2013,2013.07.03 메디포스트.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.03 메디포스트.윤원일,GROUP,40,75,B,vest colors green/orange/yellow and rowing machines visible,,인도어,evidence
2013,2013.07.20 동국대.인제백담사만해마을.윤원일,j:\공유 드라이브\2013 사진 영상\2013.07.20 동국대.인제백담사만해마을.윤원일,GROUP,40,60,A,"Multiple color-coded bibs (Yellow, Orange, Blue, Green, White) and 8+ rowing lanes shown on screen.",,혼합,name+evidence
2013,2013.07.26 현대아산아카데미.미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.07.26 현대아산아카데미.미사리.백경훈,,,,,,no_supported_images_found: .mpg:4,N/A,-
2013,2013.07.29 조말론.미사리.백경훈,j:\공유 드라이브\2013 사진 영상\2013.07.29 조말론.미사리.백경훈,,,,,,"no_supported_images_found: .mpg:16, .db:1",N/A,-
2013,2013.07.31 전체회식.태릉갈비집,j:\공유 드라이브\2013 사진 영상\2013.07.31 전체회식.태릉갈비집,GROUP,10,20,B,multiple people seated across long tables in a restaurant setting,,인도어,evidence
2013,2013.08.02 서울시장애인체육회.미사리,j:\공유 드라이브\2013 사진 영상\2013.08.02 서울시장애인체육회.미사리,GROUP,15,25,B,counting 15+ individuals in a single scene with multiple rowing machines visible,,혼합,name+evidence
2013,2013.08.22 흥국배구단.양평미리내.윤종성(녹취_백),j:\공유 드라이브\2013 사진 영상\2013.08.22 흥국배구단.양평미리내.윤종성(녹취_백),,,,,,"no_supported_images_found: .mpg:8, .pptx:1, .wmv:1",N/A,-
2013,2013.09.11 지오캐치야유회.춘천,j:\공유 드라이브\2013 사진 영상\2013.09.11 지오캐치야유회.춘천,,,,,,"no_supported_images_found: .3gp:3, .db:1",N/A,-
2013,2013.10.10 (주)동서.일산동양인재개발원.윤종성,j:\공유 드라이브\2013 사진 영상\2013.10.10 (주)동서.일산동양인재개발원.윤종성,GROUP,24,45,B,"three color teams (green, yellow, red) observed in a workshop setting",,인도어,name
