year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes
2016,2016.06.29,j:\공유 드라이브\2016 사진 영상\2016.06.29,GROUP,20,40,B,Multiple teams identified by yellow and blue vests with at least 8 rowing machines visible across scenes,
2016,2016.08.20,j:\공유 드라이브\2016 사진 영상\2016.08.20,GROUP,16,30,B,Multiple rowing shells visible with 4-8 crew members each plus spectators.,
2016,2016.09.22,j:\공유 드라이브\2016 사진 영상\2016.09.22,SMALL,10,15,B,direct counting of individuals in rowing shells across photos,
2016,2016.09.30,j:\공유 드라이브\2016 사진 영상\2016.09.30,GROUP,16,30,B,"2 vest colors(red, pink) observed with 8-15 people per team rule",
2016,2016.10.14,j:\공유 드라이브\2016 사진 영상\2016.10.14,GROUP,16,30,B,"two vest colors (pink, light blue) seen in group formation with roughly 8-15 per team",
2016,2016.05.18,,,,,,,folder_not_found
2016,2016.06.21 미사리 용감독촬영(홈페이지.홍보물제작용 소스),j:\공유 드라이브\2016 사진 영상\2016.06.21 미사리 용감독촬영(홈페이지.홍보물제작용 소스),GROUP,15,45,B,"3 boats with different vest colors (pink, orange, yellow) each carrying 5 people",
2016,2016.10.30 바이애슬론,j:\공유 드라이브\2016 사진 영상\2016.10.30 바이애슬론,MEGA,80,150,B,Approximately 10 rowing machines visible with large crowds in queue and multiple event booths,
2016,2016.10.29 바이애슬론,j:\공유 드라이브\2016 사진 영상\2016.10.29 바이애슬론,GROUP,10,30,B,5_rowing_machines_with_1_to_3_rotations,
2016,2016.09.24 은민,j:\공유 드라이브\2016 사진 영상\2016.09.24 은민,GROUP,32,60,A,"4 colored vest teams (lime, orange, blue, green) and 10+ rowing machines visible",
2016,2016.09.03 서울시청스포츠재능나눔.올림픽공원,j:\공유 드라이브\2016 사진 영상\2016.09.03 서울시청스포츠재능나눔.올림픽공원,SMALL,10,30,B,approx_10_rowing_machines_with_1_3_rotations_visible,
2016,2016.08 현대.비전스컬링,j:\공유 드라이브\2016 사진 영상\2016.08 현대.비전스컬링,GROUP,24,45,B,"multiple teams identified by green, purple, and orange vests with approximately 8-15 members per group",
2016,2016.08.10,j:\공유 드라이브\2016 사진 영상\2016.08 현대.비전스컬링\2016.08.10,GROUP,35,50,A,direct_counting_of_colored_vest_teams_in_group_shot,
2016,2016.08.09,j:\공유 드라이브\2016 사진 영상\2016.08 현대.비전스컬링\2016.08.09,GROUP,40,100,B,"2 vest colors (green, orange) with approx 10+ rowing machines visible in auditorium and practice room",
2016,2016.08.02,j:\공유 드라이브\2016 사진 영상\2016.08 현대.비전스컬링\2016.08.02,MEGA,120,180,A,"Large-scale group shot in auditorium with multiple colored vest teams (blue, orange, green, purple)",
2016,2016.08.03,j:\공유 드라이브\2016 사진 영상\2016.08 현대.비전스컬링\2016.08.03,GROUP,24,45,B,"Multiple color vests (Purple, Sky Blue, Red/Orange) with approximately 8-15 members per team visible",
