year,session_name,session_path,session_type,people_min,people_max,confidence,evidence,notes
2014,2014.07.10 서울특별시 장애인체육회 가맹단체 세미나,j:\공유 드라이브\2014 사진 영상\2014.07.10 서울특별시 장애인체육회 가맹단체 세미나,GROUP,20,40,B,indoor seminar venue with visible participants and seating capacity,
2014,2014.02.22 제13회 전국실내조정선수권대회,,,,,,,excluded
2014,2014.06.13 서울장애인조정대회 영등포장애인복지관,,,,,,,excluded
2014,2014.08.07 AGNS 기자단 워크샵,j:\공유 드라이브\2014 사진 영상\2014.08.07 AGNS 기자단 워크샵,GROUP,30,50,A,direct_count_from_seminar_room_photos,
2014,2014.08.29 충주탄금호배 전국조정대회,,,,,,,excluded
2014,2014.10.14-21 인천장애인아시안게임 운영위원활동,j:\공유 드라이브\2014 사진 영상\2014.10.14-21 인천장애인아시안게임 운영위원활동,GROUP,25,35,A,direct_counting_from_group_photo,
2014,2014.11.08 서울로잉클럽 훈련,j:\공유 드라이브\2014 사진 영상\2014.11.08 서울로잉클럽 훈련,GROUP,12,25,B,multiple_people_walking_on_shore_and_2_rowers_in_boat,
2014,2014.07.02 아산서원,j:\공유 드라이브\2014 사진 영상\2014.07.02 아산서원,GROUP,25,35,A,direct_counting_from_group_formation_shots,
2014,2014.05.30 위드블로그,j:\공유 드라이브\2014 사진 영상\2014.05.30 위드블로그,GROUP,45,55,A,direct_counting_from_group_shot_and_seating_photos,
2014,2014.05.22 중외그룹,j:\공유 드라이브\2014 사진 영상\2014.05.22 중외그룹,GROUP,32,60,B,"4 vest colors (Red, Purple, Orange, Neon) visible across session photos",
2014,2014.04.24 푸르덴셜 미사리,j:\공유 드라이브\2014 사진 영상\2014.04.24 푸르덴셜 미사리,GROUP,12,24,B,"Directly visible 12 people sitting in session, plus 6+ rowing machines observed in background.",
2014,2014.03 고촌중학교,j:\공유 드라이브\2014 사진 영상\2014.03 고촌중학교,GROUP,38,45,A,Direct count from group photos including 35+ students and staff members.,
2014,2014.10.25 백학중학교,j:\공유 드라이브\2014 사진 영상\2014.10.25 백학중학교,GROUP,24,45,B,"three bib colors (orange, red, blue) multiplied by 8-15 people per team",
2014,2014.04.26.아산서원 아웃도어 교육,j:\공유 드라이브\2014 사진 영상\2014.04.26.아산서원 아웃도어 교육,GROUP,28,35,A,direct_counting_from_outdoor_training_shot,
2014,2014.09.22 sk홀딩스,j:\공유 드라이브\2014 사진 영상\2014.09.22 sk홀딩스,GROUP,32,60,A,"4 vest colors(yellow, lime, blue, red) visible with group counting",
2014,2014.09.26 롯대면세점2차,j:\공유 드라이브\2014 사진 영상\2014.09.26 롯대면세점2차,GROUP,32,60,A,"4 teams visible (Lime, Red, Orange, Black/White) with approx 8-15 members per team and 8 rowing machines.",
2014,2014.09.29 SK홀딩스,j:\공유 드라이브\2014 사진 영상\2014.09.29 SK홀딩스,GROUP,40,75,B,"5 colored teams (red, orange, lime, green, white) visible with 8-15 members per team estimated",
2014,2014.10.01 목동 한국전파진흥협회,j:\공유 드라이브\2014 사진 영상\2014.10.01 목동 한국전파진흥협회,GROUP,24,45,B,"3 teams (orange, white, black) identified x 8-15 people per team",
